id,aktivitaetsart,typ,dokumentart,wahlperiode,datum,aktualisiert,titel,dokumentnummer,urheber,vorgangsbezug,deskriptor,abstract
1670339,Frage,Aktivität,Plenarprotokoll,20,2024-02-21,2024-06-13T10:08:06+02:00,"Thomas Seitz, MdB, AfD",20/153,,"Auftragsvergabe der Studie ""StopptCOVID"" ohne öffentliche Ausschreibung (Mündliche Frage)",,
1670341,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-05-08T10:00:11+02:00,"Thomas Seitz, MdB, AfD",20/10453,Fraktion der AfD,Zwischenbilanz der deutschen Mitgliedschaft in der Weltorganisation für Tourismus (Kleine Anfrage),,
1670342,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-04-03T09:51:16+02:00,"Mike Moncsek, MdB, AfD",20/10453,Fraktion der AfD,Zwischenbilanz der deutschen Mitgliedschaft in der Weltorganisation für Tourismus (Kleine Anfrage),,
1670343,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-04-03T09:51:16+02:00,"Sebastian Münzenmaier, MdB, AfD",20/10453,Fraktion der AfD,Zwischenbilanz der deutschen Mitgliedschaft in der Weltorganisation für Tourismus (Kleine Anfrage),,
1670344,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-04-03T09:51:16+02:00,"Klaus Stöber, MdB, AfD",20/10453,Fraktion der AfD,Zwischenbilanz der deutschen Mitgliedschaft in der Weltorganisation für Tourismus (Kleine Anfrage),,
1670347,Frage,Aktivität,Plenarprotokoll,20,2024-02-21,2024-06-13T10:08:06+02:00,"Thomas Seitz, MdB, AfD",20/153,,"Veröffentlichung der Studie ""StopptCOVID"" (Mündliche Frage)",,
1670351,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-02-26T09:02:42+01:00,"Steffen Janich, MdB, AfD",20/10455,Fraktion der AfD,Potenzielle Risiken für Kleinkinder durch melatoninhaltige Einschlafhilfen in Form von Süßigkeiten (Kleine Anfrage),,
1670352,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-02-26T09:02:42+01:00,"Peter Felser, MdB, AfD",20/10455,Fraktion der AfD,Potenzielle Risiken für Kleinkinder durch melatoninhaltige Einschlafhilfen in Form von Süßigkeiten (Kleine Anfrage),,
1670353,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-02-26T09:02:42+01:00,"Martin Sichert, MdB, AfD",20/10455,Fraktion der AfD,Potenzielle Risiken für Kleinkinder durch melatoninhaltige Einschlafhilfen in Form von Süßigkeiten (Kleine Anfrage),,
1670354,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-02-26T09:02:42+01:00,"Thomas Dietz, MdB, AfD",20/10455,Fraktion der AfD,Potenzielle Risiken für Kleinkinder durch melatoninhaltige Einschlafhilfen in Form von Süßigkeiten (Kleine Anfrage),,
1670355,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-02-26T09:02:42+01:00,"Bernd Schattner, MdB, AfD",20/10455,Fraktion der AfD,Potenzielle Risiken für Kleinkinder durch melatoninhaltige Einschlafhilfen in Form von Süßigkeiten (Kleine Anfrage),,
1670356,Kleine Anfrage,Aktivität,Drucksache,20,2024-02-22,2024-02-26T09:02:42+01:00,"Kay-Uwe Ziegler, MdB, AfD",20/10455,Fraktion der AfD,Potenzielle Risiken für Kleinkinder durch melatoninhaltige Einschlafhilfen in Form von Süßigkeiten (Kleine Anfrage),,
