titel,First Link,Second Link,Third Link
"Thomas Seitz, MdB, AfD",https://de.wikipedia.org/wiki/Thomas_Seitz_(Politiker),https://www.tiktok.com/@afdfraktionimbundestag,https://www.bundestag.de/abgeordnete/biografien/S/seitz_thomas-858072
"Mike Moncsek, MdB, AfD",https://www.tiktok.com/@mikemoncsek.de,https://www.bundestag.de/abgeordnete/biografien/M/moncsek_mike-860898,https://www.facebook.com/mikemoncsek.de/
"Sebastian Münzenmaier, MdB, AfD",https://www.tiktok.com/@muenzenmaier,https://www.tiktok.com/@muenzenmaier/video/7436397833508359457,https://www.tiktok.com/@muenzenmaier/video/7437095681216482593
"Klaus Stöber, MdB, AfD",https://www.bundestag.de/abgeordnete/biografien/S/stoeber_klaus-863310,https://www.youtube.com/channel/UCCXij4YkUFDvg23_rOGj63g,https://www.tiktok.com/@afd.new/video/7371783099295796522
"Steffen Janich, MdB, AfD",https://de.wikipedia.org/wiki/Steffen_Janich,https://www.youtube.com/channel/UCVww7fe_xc4WtdWZflUPb8A,https://en.wikipedia.org/wiki/Steffen_Janich
"Peter Felser, MdB, AfD",https://www.tiktok.com/@peterfelser_mdb,https://www.tiktok.com/@peterfelser_mdb/video/7457067493673192726,https://www.tiktok.com/@peterfelser_mdb/video/7431219289673321750
"Martin Sichert, MdB, AfD",https://www.tiktok.com/@sichertdeutschland,https://www.tiktok.com/@martin.sichert,https://www.tiktok.com/@sichertdeutschlland
"Thomas Dietz, MdB, AfD",https://www.bundestag.de/abgeordnete/biografien/D/dietz_thomas-860430,https://www.tiktok.com/@afdfraktionimbundestag,https://www.tiktok.com/@afd_bundestag
"Bernd Schattner, MdB, AfD",https://www.tiktok.com/@bernd.schattner.mdb,https://www.tiktok.com/@bernd.schattner.mdb/video/7438596021338393889,https://www.tiktok.com/@bernd.schattner.mdb/video/7420314658021707041
"Kay-Uwe Ziegler, MdB, AfD",https://www.tiktok.com/@kayuweziegler71,https://www.tiktok.com/@kayuweziegler71/video/7301400982276017440,https://de.wikipedia.org/wiki/Kay-Uwe_Ziegler
"Frank Rinck, MdB, AfD",https://www.tiktok.com/@frank.rinck,https://www.tiktok.com/@frank.rinck/video/7151049332207226118,https://www.tiktok.com/@frank.rinck/video/7151439656205208838
"Dietmar Friedhoff, MdB, AfD",https://www.tiktok.com/@dietmar.friedhoff.mdb,https://www.tiktok.com/tag/dietmarfriedhoff,https://www.tiktok.com/@dietmar.friedhoff.mdb/video/7152564216715562245
"Uwe Schulz, MdB, AfD",https://www.tiktok.com/@afd_bundestag,https://www.tiktok.com/@afdfraktionimbundestag,https://www.bundestag.de/abgeordnete/biografien/S/schulz_uwe-857986
"Dr. Christina Baum, MdB, AfD",https://www.tiktok.com/@dr.christinabaum,https://www.tiktok.com/@christinabaumafd/video/7437835746137885985,https://www.youtube.com/watch?v=OR3yQ9YFPN0
